2.0756e+05,2.5331e+05,3.055e+05,4.2704e+05,69846,1.126e+05,1.6011e+05,3.6843e+05,3.1741e+05,1.9215e+05,1.8855e+05,3.0063e+05,2.1721e+05,1.5619e+05,1.5315e+05,1.0313e+05,2.8349e+05,3.3879e+05,4.2212e+05,3.7648e+05,3.094e+05,2.0603e+05,3.7755e+05,2.1139e+05,2.647e+05,2.0187e+05,2.7832e+05,1.5804e+05,2.669e+05,3.3127e+05,4.1e+05,1.2732e+05,2.6298e+05,1.6883e+05,4.1684e+05,3.7594e+05,4.0529e+05,2.8251e+05,4.4732e+05,5.3307e+05,4.4171e+05,4.8928e+05,2.5077e+05,3.9642e+05,1.0093e+05,4.9155e+05,2.8197e+05,4.2269e+05,3.1382e+05,2.6417e+05
1.7267e+06,4.0032e+06,1.8921e+06,3.8758e+06,2.703e+06,3.5751e+06,1.9746e+06,2.0198e+06,2.1445e+06,1.5229e+06,5.1935e+05,6.7462e+06,1.4388e+06,1.8641e+06,4.6617e+06,6.4024e+06,4.0832e+06,1.6875e+06,3.8696e+06,3.9738e+05,4.6348e+06,5.0045e+06,4.7919e+06,9.4527e+06,2.4634e+06,3.9687e+06,5.8572e+05,1.6794e+05,4.3244e+06,7.0853e+05,1.8219e+06,1.0484e+06,7.9512e+06,4.3507e+06,3.2361e+06,3.4577e+06,2.0724e+06,1.9389e+06,1.7651e+06,4.8752e+06,1.291e+06,1.1002e+07,1.295e+06,7.8476e+06,1.5388e+06,4.1029e+06,4.7985e+06,5.2412e+06,5.9071e+06,2.942e+06
672.5,527.08,472.95,741.57,1060.7,578.03,407.66,772.37,815.97,1477.2,427.67,464.28,599.14,806.07,1571.7,712.47,720.04,920.34,860.76,797.06,893.12,668.62,655.29,832.84,895.45,371.97,1267.3,1159.1,764.58,552.74,550.44,443.06,848.59,816.26,635.08,662.58,644.71,482.73,1000.7,535.54,1190.3,653.36,724.52,868.52,504,1084.4,519.26,485.35,633.83,720.06
404.51,408.68,405.68,405.77,407.48,407.14,408.75,414.94,403.96,407.83,404.73,414.1,409.51,404.88,412.29,403.91,412.73,410.53,405.22,417.16,405.9,404.65,411.17,405.08,407.84,401.2,414.61,405.76,410.13,404.49,405.33,428.04,405.56,404.01,411.85,401.23,405.06,415.08,401.73,425.24,407.03,411.64,405.38,409.56,409.2,408.88,406.08,405.54,414.4,408.79
504.22,520.24,520.28,520.15,520.26,520.43,520.29,520.29,520.17,520.24,520.31,520.16,520.31,520.26,520.29,520.34,520.31,520.34,520.3,520.41,520.34,520.27,520.26,520.37,520.17,520.27,520.23,520.31,520.23,520.32,520.29,520.22,520.19,520.19,506.21,520.24,520.22,520.23,520.23,520.19,520.28,520.27,520.26,520.16,520.37,520.28,520.28,520.22,520.27,520.22
602.78,602.26,602.05,601.9,601.19,602.96,602.24,601.44,601.85,601.42,601.07,601.07,602.99,600.82,601.35,601.05,601.78,601.32,601.78,601.57,600.89,600.68,602.09,601.47,602.72,600.87,602.5,600.88,601.65,602.17,601.6,602.44,601.03,601.58,603.22,601.82,601.94,602.34,602.76,601.39,601.32,601.71,601.73,601.69,602.53,601.5,603.66,603.68,601.33,601.96
701.01,700.78,701.1,700.85,701.04,700.76,701.16,701.06,700.78,701.04,701.01,701.1,700.99,700.82,701.03,701.11,700.82,701.27,701.2,700.93,701.05,701.13,700.86,701.09,700.92,700.97,701.14,701.19,701.08,700.98,701.08,701.15,701.03,700.73,701.09,701.01,701.12,700.83,701.02,700.75,701.05,700.91,701.15,701.11,701.11,701.11,700.84,701.17,701.18,701.02
808.85,808.51,805.85,804.01,806.52,805.21,804.39,808.46,807.15,807.6,803.75,805.83,806.8,805.62,804.27,804.65,802.34,806.39,808.81,801.74,802.46,806.71,807,809.35,805.79,806.09,807.62,807.17,804.35,807.36,804.97,805.11,802.48,805.38,809.28,809.48,806.25,806.51,801.84,803.15,810.91,807.73,806.2,806.15,806.5,803.96,808.73,803.62,804.12,804.49
910.02,910.05,910.75,915.32,910.97,908.55,911.4,909.73,915.55,915.31,911.09,908.64,906.78,911.47,919.94,916.93,913.34,917.22,909.62,905.11,912.44,911.95,914.22,919.78,919.52,922.19,910.88,913.88,915.81,909.41,916.02,912.88,910.41,908.34,923.8,907.11,919.22,909.64,917.42,912.39,910.82,925.63,919.62,910.36,910.73,910.63,908.83,909.5,917.36,910.14
1041.3,1037.7,1030.5,1046.1,1036,1048.9,1095.4,1214.5,1249.8,1098.4,1044.2,1195.3,1072.3,1022.6,1272.1,1202,1151.5,1063.8,1017.4,1118.5,1049.6,1053.2,1190.9,1059,1187.3,1074.2,1068.6,1221.5,1095,1281.4,1201.4,1042,1048.8,1074.4,1068.7,1031.3,1104.3,1221.7,1096.3,1104.2,1078.2,1176.1,1054.6,1072.6,1089.5,1057.1,1038.9,1064.1,1102,1057.7
